frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
40,37673.84721336554,450741.8043848044,59509896833.533264,282773651946.81665,342283548780.35,54.39150577727177,2400.0
41,42033.68656913258,498008.1693699183,64683259762.29713,332748966215.4694,397432225977.76654,45.27776164834142,2460.0
42,7905.7599030749225,503953.6037888425,65278069348.79184,347161273228.4381,412439342577.2299,35.84550277009444,2520.0
43,5689.608789160147,543115.8859563989,71173362414.9877,386399998845.13666,457573361260.1243,32.50972402232571,2580.0
44,-5533.529482442818,541838.9338432505,52467101095.9275,387220899138.61017,439688000234.5377,27.22596385643781,2640.0
45,2292.2795701256355,565105.8110696952,54706057525.65032,425543279453.3587,480249336979.00903,23.107164275292426,2700.0000000000005
46,2426.2651272876915,578335.1341910588,57435550899.96641,446472885519.432,503908436419.39844,21.726704823151305,2760.0
47,10132.518134365233,623395.8879439274,70121380340.85483,515934995128.9594,586056375469.8143,18.823941277816132,2820.0
48,-9297.496592024705,616287.4653153174,81060684269.77635,526172035474.30066,607232719744.0771,14.714083888661147,2879.9999999999995
49,-9453.716477742897,629736.2585546634,101833971923.20615,500550522807.49976,602384494730.7059,9.912723134838439,2940.0
50,127236.97120420795,505905.5565231432,95773772419.49303,294670038471.9859,390443810891.47894,5.239648952177735,3000.0
51,201812.52093946273,515951.4452910031,126421563183.73787,311225369959.93384,437646933143.67175,4.204457245142214,3060.0
52,18529.107849677228,601975.6791692433,2889400548.0417852,397895574892.96625,400784975441.0081,3.1679915700526022,3120.0
53,13258.389190161382,703830.5247856982,3615362319.551374,521449607847.03217,525064970166.5836,2.170908091030261,3180.0
54,15018.089326630052,700955.767540814,3760181270.1946716,514815796453.6335,518575977723.8282,2.13756261145503,3240.0
55,29676.597889263932,714733.0400781312,5651585258.783945,537456335652.1328,543107920910.91675,2.104972266241325,3300.0000000000005
56,41362.50659707614,712723.2113392104,7257761400.515395,530610346510.5321,537868107911.0474,2.070155144666473,3360.0000000000005
